timestamp,sqrts0,mh2,mhc,log10_f4mean,log10_norma_pb
Wed 22 Oct 2025 14:16:22,1000.,126.,400.,-7.416412948733915,-11.89673098502721
Wed 22 Oct 2025 14:16:54,1000.,131.,400.,-6.636098415074573,-11.90141850637654
Wed 22 Oct 2025 14:17:24,1000.,136.,400.,-6.387791546514805,-11.89795783691256
Wed 22 Oct 2025 14:17:52,1000.,141.,400.,-6.242397237912338,-11.89638429655799
Wed 22 Oct 2025 14:18:20,1000.,146.,400.,-6.126847014139952,-11.89670942186656
Wed 22 Oct 2025 14:18:47,1000.,160.,400.,-5.927062561922933,-11.89889393041936
Wed 22 Oct 2025 14:19:16,1000.,170.,400.,-5.834927037777596,-11.90277275595651
Wed 22 Oct 2025 14:19:43,1000.,180.,400.,-5.771360499137398,-11.89437840206473
Wed 22 Oct 2025 14:20:13,1000.,190.,400.,-5.709014164420179,-11.89886277172514
Wed 22 Oct 2025 14:20:40,1000.,200.,400.,-5.658793790124243,-11.90136364730497
Wed 22 Oct 2025 14:21:10,1000.,210.,400.,-5.626439165463509,-11.89388539256861
Wed 22 Oct 2025 14:21:39,1000.,220.,400.,-5.579314047493512,-11.90146330446609
Wed 22 Oct 2025 14:22:06,1000.,230.,400.,-5.54727188298146,-11.90393515161661
Wed 22 Oct 2025 14:22:33,1000.,240.,400.,-5.511649978791259,-11.90436649650768
Wed 22 Oct 2025 14:23:01,1000.,250.,400.,-5.503407063418767,-11.89748046726886
Wed 22 Oct 2025 14:23:30,1000.,260.,400.,-5.475354913633828,-11.90175053456791
Wed 22 Oct 2025 14:23:59,1000.,270.,400.,-5.452952210475187,-11.90364537134434
Wed 22 Oct 2025 14:24:28,1000.,280.,400.,-5.439989719701701,-11.90229981892712
Wed 22 Oct 2025 14:24:58,1000.,290.,400.,-5.428876540993598,-11.8978715444536
Wed 22 Oct 2025 14:25:29,1000.,300.,400.,-5.405125332133658,-11.901473204831
Wed 22 Oct 2025 14:25:58,1000.,400.,400.,-5.485812996683064,-11.90084619001199
Wed 22 Oct 2025 14:26:30,1000.,500.,400.,-5.731728884352315,-11.89515390604949
Wed 22 Oct 2025 14:27:03,1000.,600.,400.,-5.945868785990803,-11.90326392738622
Wed 22 Oct 2025 14:27:40,1000.,126.,600.,-7.741193700301747,-11.90322701669302
Wed 22 Oct 2025 14:28:11,1000.,131.,600.,-6.962579654489098,-11.897711270648
Wed 22 Oct 2025 14:28:43,1000.,136.,600.,-6.691023204320024,-11.90153575329944
Wed 22 Oct 2025 14:29:14,1000.,141.,600.,-6.531320351716634,-11.89779853480753
Wed 22 Oct 2025 14:29:45,1000.,146.,600.,-6.419790709005917,-11.89287174674064
Wed 22 Oct 2025 14:30:17,1000.,160.,600.,-6.184867283771837,-11.89444929057497
Wed 22 Oct 2025 14:30:46,1000.,170.,600.,-6.07807527732538,-11.89770087206823
Wed 22 Oct 2025 14:31:20,1000.,180.,600.,-5.987377303634403,-11.89547075711611
Wed 22 Oct 2025 14:31:51,1000.,190.,600.,-5.918551526398875,-11.89552674027264
Wed 22 Oct 2025 14:32:21,1000.,200.,600.,-5.844606444250106,-11.89835156946634
Wed 22 Oct 2025 14:32:53,1000.,210.,600.,-5.793433617009446,-11.89968544109255
Wed 22 Oct 2025 14:33:23,1000.,220.,600.,-5.743310510210873,-11.8958042327799
Wed 22 Oct 2025 14:34:00,1000.,230.,600.,-5.700497817799612,-11.89747888292308
Wed 22 Oct 2025 14:34:34,1000.,240.,600.,-5.658109915976521,-11.89539798264436
Wed 22 Oct 2025 14:35:03,1000.,250.,600.,-5.619367979718302,-11.90250623601928
Wed 22 Oct 2025 14:35:33,1000.,260.,600.,-5.589246547190484,-11.89573390312939
Wed 22 Oct 2025 14:36:02,1000.,270.,600.,-5.569329526535141,-11.89965275186347
Wed 22 Oct 2025 14:36:33,1000.,280.,600.,-5.536115874552341,-11.90230398970703
Wed 22 Oct 2025 14:37:03,1000.,290.,600.,-5.51843594408176,-11.89724909520081
Wed 22 Oct 2025 14:37:34,1000.,300.,600.,-5.501468657304023,-11.90486260053397
Wed 22 Oct 2025 14:38:05,1000.,400.,600.,-5.524185285777084,-11.90102276772827
Wed 22 Oct 2025 14:38:35,1000.,500.,600.,-5.735244843901628,-11.89922433045093
Wed 22 Oct 2025 14:39:03,1000.,600.,600.,-5.937522118086627,-11.89227665896022
Wed 22 Oct 2025 14:39:32,1000.,126.,800.,-7.765304832416807,-11.91027960663586
Wed 22 Oct 2025 14:40:03,1000.,131.,800.,-7.001921613697697,-11.89448555873936
Wed 22 Oct 2025 14:40:33,1000.,136.,800.,-6.721030295818773,-11.90636119165448
Wed 22 Oct 2025 14:41:03,1000.,141.,800.,-6.57160387378156,-11.88923222547636
Wed 22 Oct 2025 14:41:31,1000.,146.,800.,-6.454994762853416,-11.89304102319736
Wed 22 Oct 2025 14:42:01,1000.,160.,800.,-6.213652110811394,-11.90319944398918
Wed 22 Oct 2025 14:42:32,1000.,170.,800.,-6.105876457337707,-11.89728453003121
Wed 22 Oct 2025 14:43:01,1000.,180.,800.,-6.013173092281959,-11.89585112441356
Wed 22 Oct 2025 14:43:32,1000.,190.,800.,-5.940630108165267,-11.89618619136808
Wed 22 Oct 2025 14:44:02,1000.,200.,800.,-5.870503848954924,-11.89845360667804
Wed 22 Oct 2025 14:44:31,1000.,210.,800.,-5.817234490181153,-11.8999561231443
Wed 22 Oct 2025 14:45:00,1000.,220.,800.,-5.772842545278558,-11.89666476782939
Wed 22 Oct 2025 14:45:29,1000.,230.,800.,-5.725667809434093,-11.89739611166386
Wed 22 Oct 2025 14:45:58,1000.,240.,800.,-5.68289285971033,-11.8932218812085
Wed 22 Oct 2025 14:46:26,1000.,250.,800.,-5.648794922558404,-11.89887890030119
Wed 22 Oct 2025 14:46:56,1000.,260.,800.,-5.615605130807954,-11.89682003724401
Wed 22 Oct 2025 14:47:28,1000.,270.,800.,-5.591076443350275,-11.89597825932769
Wed 22 Oct 2025 14:48:00,1000.,280.,800.,-5.553944402770798,-11.89796950264634
Wed 22 Oct 2025 14:48:29,1000.,290.,800.,-5.536018178627042,-11.89831968514756
Wed 22 Oct 2025 14:48:53,1000.,300.,800.,-5.524694082860345,-11.89060202923224
Wed 22 Oct 2025 14:49:15,1000.,400.,800.,-5.532356921234282,-11.90226882666475
Wed 22 Oct 2025 14:49:37,1000.,500.,800.,-5.733851695802683,-11.90065583375874
Wed 22 Oct 2025 14:49:59,1000.,600.,800.,-5.915431653162768,-11.89869945952207
Thu 30 Oct 2025 00:40:48,10000.,200.,400.,-5.660304296056935,-11.27354370397334
